    25357/  4 | SET 0
    25416/  4 | 25339 
    25416/  4 | 25339 
    25416/  4 | 25339 
    25416/  4 | 25339 
    25417/  4 | 25339 
    25417/  4 | 25339 
    25417/  4 | 25339 
    25417/  4 | 25339 
    25418/  4 | 25339 
    25418/  4 | 25339 
    25418/  4 | 25339 
    25418/  4 | 25339 
    25419/  4 | 25339 
    25419/  4 | 25339 
    25419/  4 | 25339 
    25419/  4 | 25339 
    25420/  4 | 25339 
    25420/  4 | 25339 
    25420/  4 | 25339 
    25420/  4 | 25339 
    25421/  4 | 25339 
    25421/  4 | 25339 
    25421/  4 | 25339 
    25421/  4 | 25339 
    25422/  4 | 25339 
    25422/  4 | 25339 
    25422/  4 | 25339 
    25422/  4 | 25339 
    25423/  4 | 25339 
    25423/  4 | 25339 
    25423/  4 | 25339 
    25423/  4 | 25339 
    25424/  4 | 25339 
    25424/  4 | 25339 
    25424/  4 | 25339 
    25424/  4 | 25339 
    25425/  4 | 25339 
    25425/  4 | 25339 
    25425/  4 | 25339 
    25425/  4 | 25339 
    25426/  4 | 25339 
    25426/  4 | 25339 
    25426/  4 | 25339 
    25426/  4 | 25339 
    25427/  4 | 25339 
    25427/  4 | 25339 
    25427/  4 | 25339 
    25427/  4 | 25339 
    25428/  4 | 25339 
    25428/  4 | 25339 
    25428/  4 | 25339 
    25428/  4 | 25339 
    25429/  4 | 25339 
    25429/  4 | 25339 
    25429/  4 | 25339 
    25429/  4 | 25339 
    25430/  4 | 25339 
    25430/  4 | 25339 
    25430/  4 | 25339 
    25430/  4 | 25339 
    25431/  4 | 25339 
    25431/  4 | 25339 
    25431/  4 | 25339 
    25431/  4 | 25339 
    25432/  4 | 25339 
    25432/  4 | 25339 
    25432/  4 | 25339 
    25432/  4 | 25339 
    25433/  4 | 25339 
    25433/  4 | 25339 
    25433/  4 | 25339 
    25433/  4 | 25339 
    25434/  4 | 25339 
    25434/  4 | 25339 
    25434/  4 | 25339 
    25434/  4 | 25339 
    25435/  4 | 25339 
    25435/  4 | 25339 
    25435/  4 | 25339 
    25435/  4 | 25339 
    25436/  4 | 25339 
    25436/  4 | 25339 
    25436/  4 | 25339 
    25436/  4 | 25339 
    25437/  4 | 25339 
    25437/  4 | 25339 
    25437/  4 | 25339 
    25437/  4 | 25339 
    25437/  4 | 25339 
    25438/  4 | 25339 
    25438/  4 | 25339 
    25438/  4 | 25339 
    25438/  4 | 25339 
    25439/  4 | 25339 
    25439/  4 | 25339 
